LCLAS_NM,MLSFC_NM,RPRSNT_RAWMTRL_NM,RAWMTRL_NCKNM,ENG_NM,SCNM,REGN_CD_NM,RAWMTRL_STATS_CD_NM,USE_CND_NM
식품원료(A코드),식물,Crataegus sanguinea열매,"아광나무, 뫼산사나무, 산산사나무, 야광나무","Redhaw Hawthorn, Siberian Hawthorn",Crataegus sanguinea Nakai / Crataegus sanguinea var. vilosa Rupr.,열매,,제한적사용가능부위 : 열매
식품원료(A코드),식물,Curled mint잎,,,Mentha crispa,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Curry-leaf tree잎,,,Murraya koenigii,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Damiana잎, ,"Damiane, Oreganillo, The Bourrique",Turnera aphrodisiaca,잎,,제한적사용가능부위 : 잎
식품원료(A코드),식물,Dartres,,"Date, Dates Jaunes, Fleur A Dartres, Fleur Dartre, Fleur Palmiste, Fleur St Christophe, Fleurs Saint Christophe, Guajava, Herbe A Dattes, Daoen koepang, Gelenggang, Ketepeng badak, Ketepeng kebo, Ketepeng tijna, Ketepeng, Ki manila, Ludanggan",Cassia alata,전체,,
식품원료(A코드),식물,Devils claw,,"Grapple plant, wood spider",Harpagophytum procumbens,전체,,
식품원료(A코드),식물,Devils horsewhip,,"piripiri (Cook Islands); sono ivi (Fiji); chichitun, lasogado, lasocata (Guam?Chamorro); talamoa fisi (Niue); lautafifi (Samoa); aerofai (Tahiti); tamatama (Tonga)",Achyranthes aspera,전체,,
식품원료(A코드),식물,Du Huo,"猪独活, 獨活(독활)",,Angelica pubescens ,전체,,
식품원료(A코드),식물,Dwarf sumac열매,,"Winged Sumac, Flameleaf Sumac, Mountain Sumac",Rhus copallina,열매,,
식품원료(A코드),식물,Echinacea,에키네시아,"Eastern Purple-coneflower, Black Sampson , Black Sampson Coneflower , Blacksamson , Blacksamson Echinacea , Coneflower","Echinacea purpurea, Echinacea angustifolia, Echinacea pallida",전체,,
식품원료(A코드),식물,Echinacea Purpurea잎추출물,에키네시아,"Eastern Purple-coneflower, Black Sampson , Black Sampson Coneflower , Blacksamson , Blacksamson Echinacea , Coneflower","Echinacea purpurea, Echinacea angustifolia, Echinacea pallida",잎,,
식품원료(A코드),식물,Echinacea Angustifolia뿌리추출물,에키네시아,"Eastern Purple-coneflower, Black Sampson , Black Sampson Coneflower , Blacksamson , Blacksamson Echinacea , Coneflower","Echinacea purpurea, Echinacea angustifolia, Echinacea pallida",뿌리,,
식품원료(A코드),식물,Eucalptus,,,Eucalyptus globulus Labill,-,,
식품원료(A코드),식물,European buckthorn,,"Buckthorn, Common Buckthorn",Rhamnus cathartica,전체,,
식품원료(A코드),식물,False roselle추출물,,,Hibiscus acetosella,-,,"사용가능부위 : 뿌리, 잎"
식품원료(A코드),식물,False roselle잎,,,Hibiscus acetosella,잎,,"사용가능부위 : 뿌리, 잎"
식품원료(A코드),식물,False roselle뿌리,,,Hibiscus acetosella,뿌리,,"사용가능부위 : 뿌리, 잎"
식품원료(A코드),식물,Filbert씨앗, ,"Filbert Giant, European hazel",Corylus maxima Mill / Corylus avellana L  ,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,Galanga뿌리줄기,,,Kaempferia galanga L.,뿌리줄기,,사용가능부위 : 뿌리줄기
식품원료(A코드),식물,Galanga galangal뿌리줄기, ,"Hongdoukou, Siamese ginger",Alpinia galanga (L.) Willd,암술머리,,사용가능부위 : 뿌리줄기
식품원료(A코드),식물,Guaiac wood심재,"블렌시아 살미언티(불네시아 살미엔티), 마야베타, 노모베타, 구아이악우드(심재)", ,Bulnesia sarmienti,심재,,사용가능부위 : 심재
식품원료(A코드),식물,Gallito씨앗, ,"Coral bean, Bois immortelle",Erythrina fusca Lour. / Erythrina glauca Willd.,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,Geiger tree, ,"Lasoora, Scarlet cordia",Cordia sebestena L.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Gelsemin,,"Yellow Jessamine, Woodbine, Wild Jessamine",GELSEMINUM SEMPERVIRENS,전체,,
식품원료(A코드),식물,Genipap열매,,,Genipa americana L.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Ghaf나무껍질, ,"Jand, Jandi, Shum",Prosopis cineraria (L.) Druce / Prosopis spicigera L.,나무껍질,,사용가능부위 : 나무껍질
식품원료(A코드),식물,Grass Jelly,,Jellywort,Mesona chinensis,전체,,
식품원료(A코드),식물,Heather꽃,,"Brecina, Funda",Calluna vulgaris / Erica vulgaris,꽃,,"제한적사용가능부위 : 싹, 꽃, 꽃줄기"
식품원료(A코드),식물,Heather꽃줄기,,"Brecina, Funda",Calluna vulgaris / Erica vulgaris,꽃줄기,,"제한적사용가능부위 : 싹, 꽃, 꽃줄기"
식품원료(A코드),식물,Heather싹,,"Brecina, Funda",Calluna vulgaris / Erica vulgaris,싹,,"제한적사용가능부위 : 싹, 꽃, 꽃줄기"
식품원료(A코드),식물,High-bush blueberry열매, ,"American blueberry, Swamp blueberry",Vaccinium corymbosum,열매,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,High-bush blueberry잎, ,"American blueberry, Swamp blueberry",Vaccinium corymbosum,잎,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,Ilex pubescens,,,Ilex pubescens,전체,,
식품원료(A코드),식물,Indian Bedellium Gum resin,,"Guggula, Gugal, Guggle, Suddha guggul, Myrrh",Commiphora mukul Engl.,수지,,
식품원료(A코드),식물,Java apple열매, ,Wax jambu,Syzygium samarangense,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Jicama덩이뿌리, ,"Yam bean, Mexican turnip",Pachyrhizus erosus,덩이뿌리,,사용가능부위 : 덩이뿌리
식품원료(A코드),식물,Kei apple열매,,,"Dovyalis caffra, Aberia caffra",열매,,사용가능부위 : 열매
식품원료(A코드),식물,Ketembilla열매,,,Dovyalis hebecarpa / Aberia gardneri / Roumea hebecarpa,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Kokum,,"Kokam, Goa butter, red mango",Garcinia indica,전체,,
식품원료(A코드),식물,Leadtree,,"Loa haole, Ekoa, Hediondilla, Zarcilla, Tanta, Jumbie bean",Leucaena leucocephala (Lam.) deWit.,전체,,
식품원료(A코드),식물,Lesser periwinkle,,,Vinca minor ,전체,,
식품원료(A코드),식물,Leuzea rhapontica,,"Rhaponticum scabiosa, Centaurea rhaponticum",Leuzea rhapontica,전체,,
식품원료(A코드),식물,Low-running blackberry열매,,,Rubus villosus,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Lupins,,"(French) Lupin. (German) Wolfsbohne, White lupin, Yellow lupin","Lupinus albus (Linn.)(WHITE LUPIN) , Lupin luteus(YELLOW LUPIN),Lupinus perennis(Linn.)(WILD or BLUE BEAN)",전체,,
식품원료(A코드),식물,Madu,,,Cycas circinalis L.,전체,,
식품원료(A코드),식물,Malay apple열매, ,Mountain apple,Syzygium malaccense Merr. & Perry / Eugenia malaccensis L. / Jambos malaccensis DC.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Mamoncillo열매,, ,Melicoccus bijugatus Jacq. / Melicocca bijuga L.,열매,,"사용가능부위 : 열매, 씨앗"
식품원료(A코드),식물,Mamoncillo씨앗,, ,Melicoccus bijugatus Jacq. / Melicocca bijuga L.,씨앗,,"사용가능부위 : 열매, 씨앗"
식품원료(A코드),식물,Manchurian angelica tree잎, ,Chinese angelica tree,Aralia mandschurica,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Mauritius raspberry열매, ,"Tropical red raspberry, West Indian raspberry",Rubus rosaefolius,열매,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,Mauritius raspberry잎, ,"Tropical red raspberry, West Indian raspberry",Rubus rosaefolius,잎,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,Mexican husk tomato열매,,,Physalis ixocarpa Brot. / Physalis aequata Jacq.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Mineral Pitch,,"Vegetable Asphalt, Shilajit, Shilajita",Asphaltum,전체,,
식품원료(A코드),식물,Motherwort,,"Lions ear, lions tail, Roman motherwort, throw-wort",Leonurus cardiaca,전체,,
식품원료(A코드),식물,Mountain ash,,"Rowan Tree, Cock-drunk, Fowlers Service, Hen-drunk",Pyrus Aucuparia [Sorbus Aucuparia],전체,,
식품원료(A코드),식물,Mucunuwenna잎,,,Alternanthera sessilis,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Mundi잎,,,Sphaeranthus indicus L.,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Nance열매,,,Byrsonima crassifolia / Byrsonima cubensis / Malpighia crassifolia L.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Northern bayberry잎,"마텔, 머틀","Waxberry, Myrtle, Northern bayberry",Myrica pensylvanica (Mirb.) Kartesz,잎,,
식품원료(A코드),식물,Pejibaye수액, ,"Peach palm, Gasipaes, Pupunha",Bactris gasipaes Kunth / Bactris speciosa Martius / Guilielma gasipaes,수액,,"사용가능부위 : 열매, 수액"
식품원료(A코드),식물,Pejibaye열매, ,"Peach palm, Gasipaes, Pupunha",Bactris gasipaes Kunth / Bactris speciosa Martius / Guilielma gasipaes,열매,,"사용가능부위 : 열매, 수액"
식품원료(A코드),식물,Peyote,,,lophophora williamsii,전체,,
식품원료(A코드),식물,Phalsa열매, ,Falsa,Grewia subinaequalis DC. / Grewia asiatica Mast.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Polpala잎, ,Sirupulai,Aerva lanata,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Potency Wood,,,Muria Puama,전체,,
식품원료(A코드),식물,서양자두,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두분말,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두주스,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두페이스트,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두과즙분말,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두주스분말,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두농축분말,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두농축액,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두농축주스,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두농축과즙,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,건조서양자두농축액,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두추출분말,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두열매추출고형분,"오얏, 자두, 푸룬, Plum, European plum","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,서양자두추출액,"오얏, 자두, 푸룬","Plum, European plum",Prunus domestica L. / Prunus communis Huds.,열매 (씨앗 제외),,사용가능부위 : 열매(씨앗 제외)
식품원료(A코드),식물,Psyllium씨앗껍질, ,"Isphagula, Plantago",Plantago ovata / Plantago psyllium / Plantago affra,씨앗껍질,,사용가능부위 : 씨앗 껍질
식품원료(A코드),식물,Pummelo열매, ,Pomelo,Citrus maxima,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Pygeum,,,Prunus africana,전체,,
식품원료(A코드),식물,Quince열매,산당화,Cydonia vulgaris,Chaenomeles speciosa (Sweet) Nakai / Pyrus Cydonia Lour. / Chaenomeles angustifolia Koidz. / Chaenomeles cardinalis (Carr) Nakai / Chaenomeles eburnea (Carr) Nakai,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Quince분말,산당화,Cydonia vulgaris,Chaenomeles speciosa (Sweet) Nakai / Pyrus Cydonia Lour. / Chaenomeles angustifolia Koidz. / Chaenomeles cardinalis (Carr) Nakai / Chaenomeles eburnea (Carr) Nakai,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Redmond,,,Montmorillonite,전체,,
식품원료(A코드),식물,Rose hips열매,,,Rosa species,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Salep뿌리,손바닥나비난초, ,Orchis aristata Fisch. ex Lindl. / Orchis aristata f. punctata Tatew. / Orchis aristata var. maculata Makino,뿌리,,사용가능부위 : 뿌리
식품원료(A코드),식물,Sarsaparilla,,"Black Creeper, Sarsaparilla, Sariva, Kalisar, Dudhilata, Sugandhi, Honduras sarsaparilla, red sarsaparilla, Spanish sarsaparilla, Tu fu ling, Dwipautra, Sarsparilla","Ichnocarpus fruitescens, Apocymene frutescens, Echites frutscens, ",전체,,
식품원료(A코드),식물,Sasa senanensis씨앗,,,Sasa senanensis (Franch. & Sav.) Rehder.,씨앗,,"사용가능부위 : 싹, 씨앗"
식품원료(A코드),식물,Sasa senanensis잎,,,Sasa senanensis (Franch. & Sav.) Rehder.,잎,,"사용가능부위 : 싹, 씨앗"
식품원료(A코드),식물,Sasa senanensis싹,,,Sasa senanensis (Franch. & Sav.) Rehder.,싹,,"사용가능부위 : 싹, 씨앗"
