LCLAS_NM,MLSFC_NM,RPRSNT_RAWMTRL_NM,RAWMTRL_NCKNM,ENG_NM,SCNM,REGN_CD_NM,RAWMTRL_STATS_CD_NM,USE_CND_NM
식품원료(A코드),식물,육두구분말, ,Nutmeg,Myristica fragrans Houttuyn,-,,"사용가능부위 : 씨앗※(육두구), 가종피(Mace)"
식품원료(A코드),식물,육두구엑기스, ,Nutmeg,Myristica fragrans Houttuyn,-,,"사용가능부위 : 씨앗※(육두구), 가종피(Mace)"
식품원료(A코드),식물,육두구오일, ,Nutmeg,Myristica fragrans Houttuyn,-,,"사용가능부위 : 씨앗※(육두구), 가종피(Mace)"
식품원료(A코드),식물,육두구농축액, ,Nutmeg,Myristica fragrans Houttuyn,-,,"사용가능부위 : 씨앗※(육두구), 가종피(Mace)"
식품원료(A코드),식물,육두구조미분, ,Nutmeg,Myristica fragrans Houttuyn,-,,"사용가능부위 : 씨앗※(육두구), 가종피(Mace)"
식품원료(A코드),식물,육두구추출액, ,Nutmeg,Myristica fragrans Houttuyn,-,,"사용가능부위 : 씨앗※(육두구), 가종피(Mace)"
식품원료(A코드),식물,육두구씨앗, ,Nutmeg,Myristica fragrans Houttuyn,씨앗,,"사용가능부위 : 씨앗※(육두구), 가종피(Mace)"
식품원료(A코드),식물,육종용,,roucongrong,Cistanche deserticola Y.C.Ma,전체,,
식품원료(A코드),식물,육종용육질경,,roucongrong,Cistanche deserticola Y.C.Ma,육질경,,
식품원료(A코드),식물,윤판나물순,"금윤판나물, 큰가지애기나리","Korean disporum, Korean fairybell",Disporum uniflorum Baker / Disporum sessile subsp. flavens (Kitag.) Kitag. / Disporum flavens Kitag.,순,,사용가능부위 : 순
식품원료(A코드),식물,율무분말,,,Coix lacryma-jobi L. var. may-uen,-,,사용가능부위 : 씨앗
식품원료(A코드),식물,율무추출물,,,Coix lacryma-jobi L. var. may-uen,-,,사용가능부위 : 씨앗
식품원료(A코드),식물,율무농축액,,,Coix lacryma-jobi L. var. may-uen,-,,사용가능부위 : 씨앗
식품원료(A코드),식물,찐율무,,,Coix lacryma-jobi L. var. may-uen,-,,사용가능부위 : 씨앗
식품원료(A코드),식물,율무씨앗,,,Coix lacryma-jobi L. var. may-uen,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,볶은율무,"의인, 율미, 울미, Jobs Tears, Adlay, Adlai, 의이인 (薏苡仁, Coicis Semen)",,Coix lacryma-jobi L. var. may-uen,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,볶은율무분말,,,Coix lacryma-jobi L. var. may-uen,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,율무씨앗추출고형분,,,Coix lacryma-jobi L. var. may-uen,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,으름덩굴,으름,Five-leaf chocolate vine,Akebia quinata (Houtt.) Dence.,-,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,으름덩굴열매,으름,Five-leaf chocolate vine,Akebia quinata (Houtt.) Dence.,열매,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,으름덩굴과실분말,으름,Five-leaf chocolate vine,Akebia quinata (Houtt.) Dence.,열매,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,으름덩굴잎,으름,Five-leaf chocolate vine,Akebia quinata (Houtt.) Dence.,잎,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,으름덩굴줄기,으름,Five-leaf chocolate vine,Akebia quinata (Houtt.) Dence.,줄기,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,으름덩굴뿌리,으름,Five-leaf chocolate vine,Akebia quinata (Houtt.) Dence.,뿌리,,"사용가능부위 : 잎, 열매"
식품원료(A코드),식물,으아리잎,"큰위령선, 좀으아리",Manchurian clematis,Clematis mandshurica,잎,,사용가능부위 : 잎
식품원료(A코드),식물,으아리뿌리,"큰위령선, 좀으아리",Manchurian clematis,Clematis mandshurica,뿌리,,사용가능부위 : 잎
식품원료(A코드),식물,은방울꽃,"초롱꽃, 영란","May lily, Lily of the valley",Convallaria keiskei Miq.,-,,
식품원료(A코드),식물,은분취잎,"참서덜취, 남분취, 가야산은분취",Silvery-hair saussurea,Saussurea gracilis Maxim. / Saussurea bisolor H.Lev. & Vaniot,잎,,"사용가능부위 : 순, 잎"
식품원료(A코드),식물,은분취순,"참서덜취, 남분취, 가야산은분취",Silvery-hair saussurea,Saussurea gracilis Maxim. / Saussurea bisolor H.Lev. & Vaniot,순,,"사용가능부위 : 순, 잎"
식품원료(A코드),식물,은빛쓴맛그물버섯자실체,,,Tylopilus eximius,자실체,,사용가능부위 : 자실체
식품원료(A코드),식물,은행분말, ,Ginkgo,Ginkgo biloba L.,-,,사용가능부위 : 견과
식품원료(A코드),식물,은행농축액, ,Ginkgo,Ginkgo biloba L.,-,,사용가능부위 : 견과
식품원료(A코드),식물,은행발효추출액,,Ginkgo,Ginkgo biloba L.,-,,사용가능부위 : 견과
식품원료(A코드),식물,은행추출물, ,Ginkgo,Ginkgo biloba L.,-,,사용가능부위 : 견과
식품원료(A코드),식물,건조은행추출물, ,Ginkgo,Ginkgo biloba L.,-,,사용가능부위 : 견과
식품원료(A코드),식물,은행종자추출물,"은행, 공손수(公孫樹) , 행자목(杏子木), 열매: 백과(白果, 열매의 속씨.), 압각자 잎: 은행잎, 백과엽 (白果葉), 백과아 (白果芽, 어린잎)",Ginkgo,,씨앗,,사용가능부위 : 견과
식품원료(A코드),식물,은행나무견과, ,Ginkgo,Ginkgo biloba L.,견과,,사용가능부위 : 견과
식품원료(A코드),식물,건조은행나무견과,,Ginkgo,Ginkgo biloba L. ,견과,,사용가능부위 : 견과
식품원료(A코드),식물,자숙은행나무견과,,Ginkgo,Ginkgo biloba L.,견과,,사용가능부위 : 견과
식품원료(A코드),식물,은행발효분말,,Ginkgo,Ginkgo biloba L.,견과,,사용가능부위 : 견과
식품원료(A코드),식물,은행발효액,,Ginkgo,Ginkgo biloba L.,견과,,사용가능부위 : 견과
식품원료(A코드),식물,은행나무잎, ,Ginkgo,Ginkgo biloba L.,잎,,"제한적사용가능부위 : 잎※(은행엽), 침출차의 원료로만 사용"
식품원료(A코드),식물,은행잎엑기스, ,Ginkgo,Ginkgo biloba L.,잎,,"제한적사용가능부위 : 잎※(은행엽), 침출차의 원료로만 사용"
식품원료(A코드),식물,은행잎분말, ,Ginkgo,Ginkgo biloba L.,잎,,"제한적사용가능부위 : 잎※(은행엽), 침출차의 원료로만 사용"
식품원료(A코드),식물,은행잎추출물, ,Ginkgo,Ginkgo biloba L.,잎,,"제한적사용가능부위 : 잎※(은행엽), 침출차의 원료로만 사용"
식품원료(A코드),식물,은행잎추출물분말, ,Ginkgo,Ginkgo biloba L.,잎,,"제한적사용가능부위 : 잎※(은행엽), 침출차의 원료로만 사용"
식품원료(A코드),식물,볶은음나무,엄나무,Prickly castor oil tree,Kalopanax septemlobus (Thunb.) Koidz.,-,,"사용가능부위 : 수피※(해동피), 줄기, 잎, 순"
식품원료(A코드),식물,음나무추출분말,엄나무,Prickly castor oil tree,Kalopanax septemlobus (Thunb.) Koidz.,-,,"사용가능부위 : 수피※(해동피), 줄기, 잎, 순"
식품원료(A코드),식물,음나무추출액,엄나무,Prickly castor oil tree,Kalopanax septemlobus (Thunb.) Koidz.,-,,"사용가능부위 : 수피※(해동피), 줄기, 잎, 순"
식품원료(A코드),식물,음나무잎,엄나무,Prickly castor oil tree,Kalopanax septemlobus (Thunb.) Koidz.,잎,,"사용가능부위 : 수피※(해동피), 줄기, 잎, 순"
식품원료(A코드),식물,음나무줄기,엄나무,Prickly castor oil tree,Kalopanax septemlobus (Thunb.) Koidz.,줄기,,"사용가능부위 : 수피※(해동피), 줄기, 잎, 순"
식품원료(A코드),식물,음나무수피,엄나무,Prickly castor oil tree,Kalopanax septemlobus (Thunb.) Koidz.,나무껍질,,"사용가능부위 : 수피※(해동피), 줄기, 잎, 순"
식품원료(A코드),식물,음나무뿌리,엄나무,Prickly castor oil tree,Kalopanax septemlobus (Thunb.) Koidz.,뿌리,,"사용가능부위 : 수피※(해동피), 줄기, 잎, 순"
식품원료(A코드),식물,음나무순발효액,엄나무,Prickly castor oil tree,Kalopanax septemlobus (Thunb.) Koidz.,순,,"사용가능부위 : 수피※(해동피), 줄기, 잎, 순"
식품원료(A코드),식물,이고들빼기잎,고들빼기,Teeth-margin crepidiastrum,Crepidiastrum denticulatum (Houtt.) Pak & Kawano / Youngia denticulata (Houtt.) Kitam. / Ixeris denticulata (Houtt.) Nakai,잎,,"사용가능부위 : 뿌리, 잎"
식품원료(A코드),식물,이고들빼기뿌리,고들빼기,Teeth-margin crepidiastrum,Crepidiastrum denticulatum (Houtt.) Pak & Kawano / Youngia denticulata (Houtt.) Kitam. / Ixeris denticulata (Houtt.) Nakai,뿌리,,"사용가능부위 : 뿌리, 잎"
식품원료(A코드),식물,이노리나무열매,"왕이노리나무, 털이노리나무",Komarov’s hawthorn,Crataegus komarovii Sarg. / Crataegus tenuifolia Kom.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,이대잎,"대나무, 산죽, 오구대, 신위대",Arrow bamboo,Pseudosasa japonica (Siebold & Zucc. ex Steud.) Makino ex Nakai,잎,,"사용가능부위 : 순, 잎"
식품원료(A코드),식물,이대죽순,"대나무, 산죽, 오구대, 신위대",Arrow bamboo,Pseudosasa japonica (Siebold & Zucc. ex Steud.) Makino ex Nakai,새순(죽순),,"사용가능부위 : 순, 잎"
식품원료(A코드),식물,이삭바꽃덩이뿌리,초오,,Aconitum pulcherrimum NAKAI,덩이뿌리,,
식품원료(A코드),식물,이스라지열매,"이스라지나무, 산앵도",Oriental bush cherry,Prunus japonica var. nakaii (H.Lev.) Rehder / Cerasus japonica var. nakaii (H.Lev.) Yu&Li.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,이스라지씨앗,"이스라지나무, 산앵도",Oriental bush cherry,"Prunus japonica var. nakaii (H.Lev.) Rehder , Cerasus japonica var. nakaii (H.Lev.) Yu&Li.",씨앗,,사용가능부위 : 열매
식품원료(A코드),식물,이엽우피소,"우피소(牛皮消), 이엽우피소(耳葉牛皮消), 넓은잎큰조롱",Cynanchi auriculati RADIX,Cynanchum auriculatum Royle ex Wight,전체,,
식품원료(A코드),식물,이집트콩분말,병아리콩,,Cicer arietinum L.,-,,사용가능부위 : 씨앗
식품원료(A코드),식물,건조이집트콩,병아리콩, ,Cicer arietinum L.,-,,사용가능부위 : 씨앗
식품원료(A코드),식물,이집트콩씨앗,병아리콩, ,Cicer arietinum L.,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,볶은이집트콩,병아리콩, ,Cicer arietinum L.,씨앗(가열처리한 것에 한함),,사용가능부위 : 씨앗
식품원료(A코드),식물,익모초지상부,육모초,Chinese motherwort,Leonurus japonicus Houtt.,지상부,,제한적사용가능부위 : 지상부※(익모초)
식품원료(A코드),식물,익모초분말,육모초,Chinese motherwort,Leonurus japonicus Houtt.,지상부,,제한적사용가능부위 : 지상부※(익모초)
식품원료(A코드),식물,익모초농축액,육모초,Chinese motherwort,Leonurus japonicus Houtt.,지상부,,제한적사용가능부위 : 지상부※(익모초)
식품원료(A코드),식물,익모초추출액,육모초,Chinese motherwort,Leonurus japonicus Houtt.,지상부,,제한적사용가능부위 : 지상부※(익모초)
식품원료(A코드),식물,익모초씨앗,육모초,Chinese motherwort,Leonurus japonicus Houtt.,씨앗,,제한적사용가능부위 : 지상부※(익모초)
식품원료(A코드),식물,인도보리수열매,보리자나무, ,Ficus religiosa L.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,인도사목,라부목,Sarpagandha,Rauwolfia serpentina Bentham,-,,
식품원료(A코드),식물,인동덩굴,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,-,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동분말,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,-,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동추출분말,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,-,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동추출액,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,-,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동꽃분말,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,꽃,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동꽃추출물,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,꽃,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동꽃추출물분말,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,꽃,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동꽃추출고형분,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,꽃,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동꽃추출분말,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,꽃,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동꽃봉오리,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,꽃봉오리,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동덩굴꽃봉오리추출물,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,꽃봉오리,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동덩굴꽃봉오리추출농축고형분,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,꽃봉오리,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동잎,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,잎,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인동줄기,"금은화, 인동, 눙박나무",Golden-and-silver flower,Lonicera japonica Thunberg,줄기,,"제한적사용가능부위 : 꽃봉오리※(금은화), 잎 및 줄기※(인동)"
식품원료(A코드),식물,인디안구스베리식이섬유, ,Indian gooseberry,Phyllanthus emblica L. / Emblica officinalis Gaertn.,-,,사용가능부위 : 열매
식품원료(A코드),식물,인디안구스베리추출물, ,Indian gooseberry,Phyllanthus emblica L. / Emblica officinalis Gaertn.,-,,사용가능부위 : 열매
식품원료(A코드),식물,인디안구스베리열매, ,Indian gooseberry,Phyllanthus emblica L. / Emblica officinalis Gaertn.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,인디안구스베리열매분말, ,Indian gooseberry,Phyllanthus emblica L. / Emblica officinalis Gaertn.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,인디안구스베리주스, ,Indian gooseberry,Phyllanthus emblica L. / Emblica officinalis Gaertn.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,건조인디안구스베리,,INDIAN GOOSEBERRY,Phyllanthus emblica L. / Emblica officinalis Gaertn.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,인디안구스베리추출물분말, ,Indian gooseberry,Phyllanthus emblica L. / Emblica officinalis Gaertn.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,인디안베이리프잎, ,"Indian Bay-leaf, Tamalpatri, Tejput, Indian cassia lignea",Cinnamomum tamala (Buch.-Ham.) T.Nees & Eberm.,잎,,"제한적사용가능부위 : 줄기껍질, 잎"
식품원료(A코드),식물,인디안베이리프줄기껍질, ,"Indian Bay-leaf, Tamalpatri, Tejput, Indian cassia lignea",Cinnamomum tamala (Buch.-Ham.) T.Nees & Eberm.,줄기껍질,,"제한적사용가능부위 : 줄기껍질, 잎"
식품원료(A코드),식물,인디안사사파릴라잎, ,Indian sarsaparilla,Hemidesmus indicus (L.) W.T.Aiton,잎,,사용가능부위 : 잎
식품원료(A코드),식물,인삼,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼엑기스,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼주스,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,건조인삼,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼농축,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼농축액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼발효분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼발효액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,팽화발효인삼농축액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼침출원액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,발효인삼농축액분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,발효인삼농축액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,발효인삼추출물분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼발효추출물,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼추출물,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼추출액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼추출농축분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼추출농축액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,찐인삼농축액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼증류액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼증류원액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,-,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매농축액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매발효분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매발효액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매발효농축분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매발효농축액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매발효추출분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매착즙액,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
식품원료(A코드),식물,인삼열매추출분말,"수삼(水蔘), 백삼(白蔘), 홍삼(紅蔘), 흑삼, 야산삼(野山蔘), 별직삼(別直蔘), 산양삼(山養蔘), 태극삼(太極蔘)","Ginseng, Korean ginseng",Panax ginseng C.A.Meyer,열매,,"사용가능부위 : 뿌리, 줄기, 잎, 열매, 씨앗"
