식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,출처명,원산지국코드,수입여부,데이터생성방법명,원산지국명,원산지역명,데이터생성방법코드,데이터생성일자,생산·채취·포획월,데이터기준일자,제공기관코드,제공기관명
R104-018040002-0000,팥_회색팥_말린것,R,원재료성 식품,1,식물성,04,두류,04018,팥,0401804,회색팥,040180400,해당없음,02,말린것,100g,350,10.6,21.9,1,3.2,63.3,,,116,5.1,456,1331,1,0,0,0,0.44,0.1,2.7,0,,,,,0,1,농촌진흥청(국가표준식품성분표),,N,수집,해당없음,해당없음,2,1996-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-018050002-0000,팥_팥+황백_말린것,R,원재료성 식품,1,식물성,04,두류,04018,팥,0401805,황백,040180500,해당없음,02,말린것,100g,343,13,22.38,1.17,3.65,59.85,0.36,18.3,72,5.61,407,1169,2,0,0,6,0.898,0.15,0.788,5.78,0,0,0.27,0,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2019-04-01,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-018060002-0000,팥_검정팥+검구슬_말린것,R,원재료성 식품,1,식물성,04,두류,04018,팥,0401806,검정팥+검구슬,040180600,해당없음,02,말린것,100g,336,14.6,20.57,1.05,3.57,60.26,0.4,18,74,4.56,374,1249,16,0,0,3,0.886,0.255,0.927,0.64,0,0,0.31,0,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2019-04-01,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-018070002-0000,팥_붉은팥+서나_말린것,R,원재료성 식품,1,식물성,04,두류,04018,팥,0401807,붉은팥+서나,040180700,해당없음,02,말린것,100g,341,12.7,21.14,1.22,4.34,60.56,0.46,18.4,78,5.8,466,1394,11,0,0,4,0.958,0.298,0.892,5.96,0,0,0.26,0,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2019-04-01,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-008000046-0000,완두_삶은것,R,원재료성 식품,1,식물성,04,두류,04008,완두,0400800,해당없음,040080000,해당없음,46,삶은것,100g,123,69.7,7.27,1.1,1.15,20.78,0,9.1,35,2.03,174,338,2,39,0,463,0.253,0.09,0.635,11.9,0,0,0.22,0,,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2013-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-009000001-0000,작두(도두)_생것,R,원재료성 식품,1,식물성,04,두류,04009,작두(도두),0400900,해당없음,040090000,해당없음,01,생것,100g,125,68,9,0.3,1.2,21.5,,11.2,85,0.8,133,398,3,1,0,16,0.65,0.06,1.3,16,,,,,78,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2010-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-009000002-0000,작두(도두)_말린것,R,원재료성 식품,1,식물성,04,두류,04009,작두(도두),0400900,해당없음,040090000,해당없음,02,말린것,100g,344,12,26.3,1,3.3,57.4,,,84,3.7,353,1296,5,0,0,,0.54,0.25,2,0,,,,,,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,1999-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-010000001-0000,잠두_생것,R,원재료성 식품,1,식물성,04,두류,04010,잠두,0401000,해당없음,040100000,해당없음,01,생것,100g,341,11,26.12,1.53,3.08,58.29,5.7,25,103,6.7,421,1062,13,3,0,32,0.555,0.333,2.832,1.4,0,0,0.25,0,0,1,농촌진흥청(국가표준식품성분표),,N,수집,해당없음,해당없음,2,2018-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-010000046-0000,잠두_삶은것,R,원재료성 식품,1,식물성,04,두류,04010,잠두,0401000,해당없음,040100000,해당없음,46,삶은것,100g,110,71.5,7.6,0.4,0.81,19.65,1.82,5.4,36,1.5,125,268,5,1,0,9,0.097,0.089,0.711,0.3,0,0,0.07,0,0,1,농촌진흥청(국가표준식품성분표),,N,수집,해당없음,해당없음,2,2018-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-011000002-0000,쥐눈이콩(검정소립콩)_말린것,R,원재료성 식품,1,식물성,04,두류,04011,쥐눈이콩(검정소립콩),0401100,해당없음,040110000,해당없음,02,말린것,100g,403,12.6,37.32,14.61,4.88,30.59,5.58,22.2,212,8.14,743,1888,2,7,0,82,0.164,0.682,1.527,2.29,0,0,2.15,0.01,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2014-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-011000046-0000,쥐눈이콩(검정소립콩)_삶은것,R,원재료성 식품,1,식물성,04,두류,04011,쥐눈이콩(검정소립콩),0401100,해당없음,040110000,해당없음,46,삶은것,100g,184,60.6,17.99,6.79,1.91,12.71,1.55,10.5,101,3.31,290,663,3,3,0,37,0.059,0.317,0.173,0,0,0,0.99,0.01,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2014-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-011000058-0000,쥐눈이콩(검정소립콩)_볶은것,R,원재료성 식품,1,식물성,04,두류,04011,쥐눈이콩(검정소립콩),0401100,해당없음,040110000,해당없음,58,볶은것,100g,447,3.8,42.31,16.71,5.45,31.73,5.56,23,238,2.27,793,1955,3,6,0,68,0.055,0.294,0.169,0.37,0,0,2.45,0.02,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2014-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-012010002-0000,콩(대두)_갈색콩(밤콩)_말린것,R,원재료성 식품,1,식물성,04,두류,04012,콩(대두),0401201,갈색콩(밤콩),040120100,해당없음,02,말린것,100g,410,11.2,35,17.2,6,30.6,,,239,8.1,660,1453,4,0,0,0,0.49,0.17,2,0,,,,,0,1,농촌진흥청(국가표준식품성분표),,N,수집,해당없음,해당없음,2,1996-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-012020002-0000,콩(대두)_노란콩_말린것,R,원재료성 식품,1,식물성,04,두류,04012,콩(대두),0401202,노란콩,040120200,해당없음,02,말린것,100g,409,11.2,36.21,14.71,4.89,32.99,6.64,25.6,260,6.66,660,1838,2,1,0,11,0.553,0.384,1.64,3.27,0,0,2.07,0.02,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2014-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-012020046-0000,콩(대두)_노란콩_삶은것,R,원재료성 식품,1,식물성,04,두류,04012,콩(대두),0401202,노란콩,040120200,해당없음,46,삶은것,100g,201,58.6,17.82,9.5,2.06,12.02,2.43,10.2,127,2.27,305,692,4,0,0,4,0.158,0.204,0.164,1.13,0,0,1.33,0,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2014-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-012020058-0000,콩(대두)_노란콩_볶은것,R,원재료성 식품,1,식물성,04,두류,04012,콩(대두),0401202,노란콩,040120200,해당없음,58,볶은것,100g,444,3.5,40.47,17.21,5.25,33.57,6.32,20.3,256,7.6,636,1988,3,1,0,9,0.128,0.523,,0,0,0,2.42,0.01,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2014-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-012020087-0000,콩(대두)_노란콩_가루를 볶은것,R,원재료성 식품,1,식물성,04,두류,04012,콩(대두),0401202,노란콩,040120200,해당없음,87,가루를 볶은것,100g,430,4.1,38.5,21.36,5.25,30.81,7.51,22.1,236,11.38,678,1964,4,1,0,7,0.074,0.141,2.507,1.16,0,0,2.99,0.02,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2022-05-01,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-012030002-0000,콩(대두)_대풍_말린것,R,원재료성 식품,1,식물성,04,두류,04012,콩(대두),0401203,대풍,040120300,해당없음,02,말린것,100g,405,10,34.36,13.83,4.87,36.94,5.51,11.1,322,10.92,921,2842,0,1,0,6,0.68,0.226,1.877,1.1,0,0,1.97,0.03,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2016-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-012030058-0000,콩(대두)_대풍_볶은것,R,원재료성 식품,1,식물성,04,두류,04012,콩(대두),0401203,대풍,040120300,해당없음,58,볶은것,100g,460,2.2,35.8,19.5,5.2,37.3,,,230,7.8,610,2173,5,0,0,0,0.26,0.42,3.1,13,,,,,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2009-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-012040002-0000,콩(대두)_수입산(미국산)_말린것,R,원재료성 식품,1,식물성,04,두류,04012,콩(대두),0401204,수입산(미국산)),040120400,해당없음,02,말린것,100g,432,9.5,33.9,16,1,39.6,,,118,6.5,34,842,3,0,0,0,0.35,0.35,2,0,,,,,0,1,농촌진흥청(국가표준식품성분표),840,Y,분석,미국,해당없음,1,1995-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-012050002-0000,콩(대두)_서리태_말린것,R,원재료성 식품,1,식물성,04,두류,04012,콩(대두),0401205,서리태,040120500,해당없음,02,말린것,100g,413,10.3,38.68,15.86,4.71,30.45,6.45,20.8,199,6.19,653,1848,1,5,0,60,0.168,0.682,1.422,6.72,0,0,2.19,0.01,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2014-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R103-011050000-0000,설탕_흑설탕,R,원재료성 식품,1,식물성,03,당류,03011,설탕,0301105,흑설탕,030110500,해당없음,00,해당없음,100g,380,1.7,0.12,0.02,0.2,97.97,92.85,0,48,0.69,1,94,18,0,0,0,0,0,0,0,0,0,0,0,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2023-05-03,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R103-019000000-0000,포도당,R,원재료성 식품,1,식물성,03,당류,03019,포도당,0301900,해당없음,030190000,해당없음,00,해당없음,100g,342,9,0,0,0,91,88.2,0,,0.1,1,,,0,0,,0,0,0,0,0,0,,,0,1,농촌진흥청(국가표준식품성분표),,N,수집,해당없음,해당없음,2,2020-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-001000001-0000,강낭콩_생것,R,원재료성 식품,1,식물성,04,두류,04001,강낭콩,0400100,해당없음,040010000,해당없음,01,생것,100g,174,56.1,8.8,0.86,1.86,32.35,1.65,14.1,49,3.11,281,730,0,4,0,53,0.449,0.124,1.881,2.12,0,0,0.22,0,43,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2013-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-001000002-0000,강낭콩_말린것,R,원재료성 식품,1,식물성,04,두류,04001,강낭콩,0400100,해당없음,040010000,해당없음,02,말린것,100g,348,12.1,21.01,1.41,3.58,61.89,3.32,25.6,99,6.22,562,1462,1,9,0,105,0.329,0.124,3.77,0.24,0,0,0.36,0,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2023-05-03,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-001000046-0000,강낭콩_삶은것,R,원재료성 식품,1,식물성,04,두류,04001,강낭콩,0400100,해당없음,040010000,해당없음,46,삶은것,100g,171,57,8.46,0.9,1.74,31.92,0.77,15.2,59,2.89,270,575,3,8,0,90,0.329,0.112,1.095,2.12,0,0,0.18,0,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2013-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R104-002000002-0000,녹두_말린것,R,원재료성 식품,1,식물성,04,두류,04002,녹두,0400200,해당없음,040020000,해당없음,02,말린것,100g,352,9.4,24.51,1.52,4.42,60.15,0,22.4,100,4.11,441,1420,1,20,0,243,0.156,0.358,1.634,5.29,0,0,0.55,0,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2013-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
