식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,출처명,원산지국코드,수입여부,데이터생성방법명,원산지국명,원산지역명,데이터생성방법코드,데이터생성일자,생산·채취·포획월,데이터기준일자,제공기관코드,제공기관명
R211-009112801-0001,"가자미류_기름가자미(21-24cm)_수컷,육_생것_대표_1월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100911,기름가자미(21-24cm),110091128,"수컷,육",01,생것,100g,90,79.0,19.42,0.83,1.28,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,01,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009111601-0001,"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_1월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100911,기름가자미(21-24cm),110091116,"암컷,육",01,생것,100g,92,77.7,19.20,0.93,1.57,0.61,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,01,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009111601-0002,"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_2월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100911,기름가자미(21-24cm),110091116,"암컷,육",01,생것,100g,82,79.6,17.36,0.24,1.20,1.58,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,02,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0010,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_10월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,83,79.9,17.63,0.64,1.25,0.62,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,10,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0011,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_11월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,92,79.2,18.51,1.49,1.13,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,11,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0012,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_12월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,95,79.2,17.38,2.19,1.03,0.16,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,12,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0001,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_1월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,89,79.0,19.00,0.94,1.24,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,01,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0002,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_2월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,81,80.3,16.45,0.44,0.94,1.86,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,02,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0003,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_3월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,102,77.3,18.59,1.47,0.36,2.27,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,03,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0004,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_4월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,87,79.1,17.99,0.99,1.41,0.48,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,04,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0005,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_5월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,81,80.2,16.34,0.59,1.20,1.68,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,05,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0006,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_6월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,88,79.7,19.26,0.71,1.59,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,06,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0007,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_7월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,88,80.9,17.30,1.55,1.16,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,07,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0008,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_8월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,82,81.2,16.60,1.05,0.76,0.44,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,08,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009132801-0009,"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_9월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091328,"수컷,육",01,생것,100g,90,79.4,19.32,0.90,1.62,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,09,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009131601-0010,"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_10월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091316,"암컷,육",01,생것,100g,91,79.9,18.98,1.21,1.23,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,10,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009131601-0011,"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_11월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091316,"암컷,육",01,생것,100g,87,79.4,18.51,0.85,1.12,0.10,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,11,2025-01-13,1192266,해양수산부 국립수산과학원
R211-009131601-0012,"가자미류_기름가자미(25-29cm)_암컷,육_생것_대표_12월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11009,가자미류,1100913,기름가자미(25-29cm),110091316,"암컷,육",01,생것,100g,86,78.7,19.46,0.40,1.27,0.13,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2017-11-30,12,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235011601-1216,"청어_암컷,육_생것_포항_8월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350116,"암컷,육",01,생것,100g,198,67.4,18.21,12.65,1.31,0.44,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,포항,1,2018-11-30,08,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235011601-1217,"청어_암컷,육_생것_포항_9월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350116,"암컷,육",01,생것,100g,176,68.8,19.45,9.67,1.43,0.64,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,포항,1,2018-11-30,09,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014050-0003,청어_육_구운것_대표_3월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,50,구운것,100g,248,40.7,26.54,3.14,3.73,25.91,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2019-11-30,03,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014050-0004,청어_육_구운것_대표_4월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,50,구운것,100g,331,26.9,33.44,8.47,4.47,26.72,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2019-11-30,04,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014002-0003,청어_육_말린것_대표_3월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,02,말린것,100g,375,7.6,82.26,1.94,5.83,2.38,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2019-11-30,03,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014002-0004,청어_육_말린것_대표_4월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,02,말린것,100g,400,4.6,83.44,4.81,6.55,0.64,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2019-11-30,04,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014002-0000,청어_육_말린것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,02,말린것,100g,464,24.0,44.50,24.00,6.50,1.00,,,87,10.40,470,250,1300,12,12,,0.010,0.500,4.000,0.00,,,,,0,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,1982-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014004-0000,청어_육_삶아서 말린것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,04,삶아서 말린것,100g,137,76.0,18.70,4.70,0.60,0.00,,,73,2.10,277,,,9,9,,0.110,0.110,0.900,0.00,,,,,55,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,1982-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014046-0003,청어_육_삶은것_대표_3월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,46,삶은것,100g,106,76.3,9.99,1.70,0.44,11.55,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2019-11-30,03,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014046-0004,청어_육_삶은것_대표_4월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,46,삶은것,100g,121,74.9,8.93,3.70,0.57,11.90,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2019-11-30,04,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014001-0008,청어_육_생것_대표_8월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,01,생것,100g,177,70.5,17.60,10.96,1.22,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2022-11-30,08,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014001-1678,청어_육_생것_동해EEZ_2월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,01,생것,100g,112,76.8,17.98,3.89,1.32,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,동해EEZ,1,2021-11-30,02,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014001-1200,청어_육_생것_부산_5월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,01,생것,100g,213,66.3,16.30,15.10,1.90,0.40,0.40,0.0,35,0.80,304,,,,69,,0.030,0.250,6.300,1.00,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,부산,1,2009-11-30,05,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014001-1221,청어_육_생것_포항_2월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,01,생것,100g,131,74.3,19.00,5.43,1.27,0.03,,,,,,,,4,4,0,0.968,0.221,0.285,,,22.57,0.95,0.01,52,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,포항,1,2024-11-30,02,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014021-0000,청어_육_소금에 절여 저장한것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,21,소금에 절여 저장한것,100g,176,64.8,17.50,9.00,8.50,0.20,,,55,6.00,228,298,538,0,0,,0.020,0.300,4.000,0.00,,,,,15,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,1982-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014035-0909,청어_육_얼려서 말린것_사천_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,35,얼려서 말린것,100g,371,37.9,35.18,23.09,2.56,1.28,,,14,2.31,574,444,480,6,6,0,1.911,0.568,1.050,,,54.80,3.89,0.03,0,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,사천,1,2023-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-235014035-1227,청어_육_얼려서 말린것_영덕_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,35,얼려서 말린것,100g,349,45.2,25.20,24.50,2.20,2.90,,,64,1.50,0,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,영덕,1,2018-11-30,06,2025-01-13,1192266,해양수산부 국립수산과학원
R118-057000002-0000,파슬리_말린것,R,원재료성 식품,1,식물성,18,조미료류,18057,파슬리,1805700,해당없음,180570000,해당없음,02,말린것,100g,298,3.6,20.16,3.41,11.23,61.59,5.67,21.7,1129,39.9,461,2714,630,1007,0,12082,0.18,1.811,7.562,447.72,0,0,0.64,0,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2021-05-01,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R211-011031601-0008,"갈치류_갈치(24cm이상)_암컷,육_생것_대표_8월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11011,갈치류,1101103,갈치(24cm이상),110110316,"암컷,육",01,생것,100g,94,79.5,18.77,1.58,0.72,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2021-11-30,08,2025-01-13,1192266,해양수산부 국립수산과학원
R211-011031601-0009,"갈치류_갈치(24cm이상)_암컷,육_생것_대표_9월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11011,갈치류,1101103,갈치(24cm이상),110110316,"암컷,육",01,생것,100g,101,78.7,19.41,2.01,1.22,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2021-11-30,09,2025-01-13,1192266,해양수산부 국립수산과학원
R211-011014172-0902,갈치류_갈치_내장_젓갈(속젓갈)_진주_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11011,갈치류,1101101,갈치,110110141,내장,72,젓갈(속젓갈),100g,195,46.6,8.40,3.60,9.00,32.40,0.00,0.0,152,0.50,4,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,수집,대한민국,진주,1,2018-11-30,06,2025-01-13,1192266,해양수산부 국립수산과학원
R211-011012801-0010,"갈치류_갈치_수컷,육_생것_대표_10월",R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11011,갈치류,1101101,갈치,110110128,"수컷,육",01,생것,100g,111,77.4,18.83,3.34,1.02,0.00,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2021-11-30,10,2025-01-13,1192266,해양수산부 국립수산과학원
R106-144000001-0000,열무_생것,R,원재료성 식품,1,식물성,06,채소류,06144,열무,0614400,해당없음,061440000,해당없음,01,생것,100g,14,94.5,2.08,0.21,1.22,1.99,0,1.3,156,1.7,44,326,48,225,0,2698,0.044,0.096,0.359,7.25,0,0,0.04,0,4,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2014-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R211-235014016-0000,청어_육_훈제_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11235,청어,1123501,청어,112350140,육,16,훈제,100g,311,43.9,23.10,22.10,10.90,,,0.0,150,3.50,400,280,3900,,,,0.010,0.350,5.000,0.00,48.00,,4.53,,45,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2020-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-927054101-1201,청해삼_내장_생것_부산_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11927,해삼,1192705,청해삼,119270541,내장,01,생것,100g,35,90.1,5.75,0.76,2.55,0.88,,,,,,,,31,0,0,0.000,0.211,0.000,,,10.20,0.11,,0,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,부산,1,2019-11-30,06,2025-01-13,1192266,해양수산부 국립수산과학원
R211-927054001-1201,청해삼_육_생것_부산_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11927,해삼,1192705,청해삼,119270540,육,01,생것,100g,33,89.8,4.84,0.56,3.00,1.75,,,,,,,,29,,,0.000,0.029,0.633,,,3.49,0.12,,48,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,부산,1,2019-11-30,06,2025-01-13,1192266,해양수산부 국립수산과학원
R211-927054001-1211,청해삼_육_생것_포항_3월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11927,해삼,1192705,청해삼,119270540,육,01,생것,100g,19,92.9,3.10,0.36,2.90,0.70,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,포항,1,2020-11-30,03,2025-01-13,1192266,해양수산부 국립수산과학원
R211-237014001-1052,초어_육_생것_창원_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11237,초어,1123701,초어,112370140,육,01,생것,100g,89,79.7,17.10,1.70,1.30,0.20,0.20,0.0,66,1.70,217,,,,15,,0.300,0.130,3.500,1.00,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,창원,1,2009-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-515013901-0766,코끼리조개_전체_생것_여수_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11515,코끼리조개,1151501,코끼리조개,115150139,전체,01,생것,100g,103,75.4,12.58,1.21,1.35,9.49,,,65,8.03,193,279,250,65,,,0.000,0.139,8.454,,,45.37,0.21,,53,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,여수,1,2021-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-721014046-0000,크릴류_크릴_육_삶은것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11721,크릴류,1172101,크릴,117210140,육,46,삶은것,100g,87,79.8,13.80,3.00,3.40,,,,350,0.60,310,200,620,150,150,,0.210,0.250,1.400,4.00,0.00,,0.69,,0,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2020-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-721014001-0000,크릴류_크릴_육_생것_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11721,크릴류,1172101,크릴,117210140,육,01,생것,100g,76,81.9,12.10,2.60,3.20,0.20,0.20,0.0,401,2.00,263,,,,158,,0.130,0.250,1.700,2.00,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2008-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-721014043-0000,크릴류_크릴_육_페이스트_대표_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11721,크릴류,1172101,크릴,117210140,육,43,페이스트,100g,130,74.0,16.50,5.50,2.00,2.00,2.00,0.0,180,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2008-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-517014001-1200,큰구슬우렁이(골뱅이)_육_생것_부산_5월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11517,큰구슬우렁이(골뱅이),1151701,큰구슬우렁이(골뱅이),115170140,육,01,생것,100g,76,79.9,17.40,0.10,2.30,0.30,0.30,0.0,46,2.60,147,,,,0,,0.030,0.120,2.300,1.00,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,부산,1,2009-11-30,05,2025-01-13,1192266,해양수산부 국립수산과학원
R211-519014001-1052,큰논우렁이_육_생것_창원_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11519,큰논우렁이,1151901,큰논우렁이,115190140,육,01,생것,100g,71,80.4,9.80,1.00,3.90,4.90,4.90,0.0,1003,17.10,115,,,,15,,0.200,0.390,2.300,1.00,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,창원,1,2009-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R112-849014002-0000,클로렐라_육_말린것_대표_평균,R,원재료성 식품,1,식물성,12,해조류,12849,클로렐라,1284901,클로렐라,128490140,육,02,말린것,100g,97,10.3,45.30,7.20,11.50,25.70,,,117,73.40,1536,,,,,,,,,,,,,,0,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2018-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-521014701-1200,키조개_관자(패주)_생것_부산_5월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11521,키조개,1152101,키조개,115210147,관자(패주),01,생것,100g,70,81.8,12.36,1.10,2.80,1.94,1.94,0.0,32,6.52,277,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,부산,1,2009-11-30,05,2025-01-13,1192266,해양수산부 국립수산과학원
R211-521014101-1201,키조개_내장_생것_부산_6월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11521,키조개,1152101,키조개,115210141,내장,01,생것,100g,79,82.3,12.03,2.06,1.44,2.18,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,부산,1,2019-11-30,06,2025-01-13,1192266,해양수산부 국립수산과학원
R211-521014050-0766,키조개_육_구운것_여수_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11521,키조개,1152101,키조개,115210140,육,50,구운것,100g,170,63.9,24.77,5.12,2.04,4.13,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,여수,1,2021-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R211-521014001-1042,키조개_육_생것_구산면_3월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11521,키조개,1152101,키조개,115210140,육,01,생것,100g,87,79.3,4.88,1.26,1.21,13.37,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,구산면,1,2019-11-30,03,2025-01-13,1192266,해양수산부 국립수산과학원
R211-521014001-1200,키조개_육_생것_부산_5월,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11521,키조개,1152101,키조개,115210140,육,01,생것,100g,91,76.4,18.60,0.20,2.10,2.70,2.70,0.0,17,0.84,205,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,부산,1,2009-11-30,05,2025-01-13,1192266,해양수산부 국립수산과학원
R211-521013901-0766,키조개_전체_생것_여수_평균,R,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11521,키조개,1152101,키조개,115210139,전체,01,생것,100g,57,86.5,10.30,1.10,1.30,0.80,0.80,0.0,38,8.20,128,,,,0,,0.040,0.140,1.800,2.00,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,여수,1,2009-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R112-851013902-0000,톳_전체_말린것_대표_평균,R,원재료성 식품,1,식물성,12,해조류,12851,톳,1285101,톳,128510139,전체,02,말린것,100g,102,21.6,7.27,0.48,28.16,42.52,,10.3,1269,30.44,169,9212,3040,0,0,0,1.076,0.227,1.788,,,56.01,0.28,0.00,0,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표,1,2023-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R112-851013902-0766,톳_전체_말린것_여수_평균,R,원재료성 식품,1,식물성,12,해조류,12851,톳,1285101,톳,128510139,전체,02,말린것,100g,116,7.0,12.75,0.48,37.56,42.19,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,여수,1,2019-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
R112-851013902-0467,톳_전체_말린것_완도_평균,R,원재료성 식품,1,식물성,12,해조류,12851,톳,1285101,톳,128510139,전체,02,말린것,100g,116,11.7,13.88,0.85,33.31,40.28,,,,,,,,,,,,,,,,,,,,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,완도,1,2019-11-30,,2025-01-13,1192266,해양수산부 국립수산과학원
