식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),수입여부
R101-025120101-0000,보리_흑수청찰_도정_생것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102512,흑수청찰,10251201,도정,1,생것,100g,352,10.6,9.38,1.6,1.06,77.39,1.11,12.4,40.0,2.03,229.0,274.0,2.0,0.0,0.0,2.0,0.179,0.025,1.314,0.0,0.0,0.0,0.44,0.0,0.0,N
R101-025120601-0000,보리_흑수청찰_조곡_생것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102512,흑수청찰,10251206,조곡,1,생것,100g,349,10.5,11.64,2.34,2.66,72.82,1.42,19.4,58.0,4.87,444.0,574.0,7.0,1.0,0.0,8.0,0.467,0.088,1.857,0.0,0.0,0.0,0.54,0.0,0.0,N
R101-026010000-0000,보리밥_쌀보리,R,원재료성 식품,1,식물성,1,곡류,1026,보리밥,102601,쌀보리,10260100,해당없음,0,해당없음,100g,144,63.7,3.58,0.73,0.25,31.72,0.08,3.3,14.0,0.78,66.0,66.0,1.0,0.0,0.0,1.0,0.023,0.01,0.243,0.0,0.0,0.0,0.19,0.0,0.0,N
R101-026020000-0000,보리밥_누리찰,R,원재료성 식품,1,식물성,1,곡류,1026,보리밥,102602,누리찰,10260200,해당없음,0,해당없음,100g,142,64.3,3.77,0.72,0.27,30.99,0.08,2.4,16.0,0.94,65.0,73.0,1.0,0.0,0.0,1.0,0.018,0.01,0.221,0.0,0.0,0.0,0.19,0.0,0.0,N
R101-026030000-0000,보리밥_호강,R,원재료성 식품,1,식물성,1,곡류,1026,보리밥,102603,호강,10260300,해당없음,0,해당없음,100g,146,63.2,3.39,0.73,0.24,32.45,0.08,4.2,11.0,0.63,67.0,59.0,1.0,0.0,0.0,1.0,0.028,0.009,0.265,0.0,0.0,0.0,0.19,0.0,0.0,N
R101-026040000-0000,보리밥_겉보리,R,원재료성 식품,1,식물성,1,곡류,1026,보리밥,102604,겉보리,10260400,해당없음,0,해당없음,100g,144,63.7,3.55,0.7,0.26,31.79,0.37,2.7,11.0,0.69,66.0,57.0,0.0,0.0,0.0,0.0,0.076,0.01,0.273,0.0,0.0,0.0,0.18,0.0,0.0,N
R101-026050000-0000,보리밥_큰알보리1호,R,원재료성 식품,1,식물성,1,곡류,1026,보리밥,102605,큰알보리1호,10260500,해당없음,0,해당없음,100g,138,65.3,3.17,0.65,0.23,30.6,0.22,1.9,9.0,0.63,60.0,37.0,0.0,0.0,0.0,0.0,0.059,0.007,0.286,0.0,0.0,0.0,0.18,0.0,0.0,N
R101-026060000-0000,보리밥_흑수청찰,R,원재료성 식품,1,식물성,1,곡류,1026,보리밥,102606,흑수청찰,10260600,해당없음,0,해당없음,100g,150,62.1,3.93,0.75,0.28,32.97,0.53,3.4,14.0,0.75,73.0,76.0,0.0,0.0,0.0,0.0,0.092,0.013,0.26,0.0,0.0,0.0,0.18,0.0,0.0,N
R101-027000101-0000,수수_도정_생것,R,원재료성 식품,1,식물성,1,곡류,1027,수수,102700,해당없음,10270001,도정,1,생것,100g,374,10.2,11.67,3.01,1.51,73.63,0.46,,8.0,2.84,302.0,367.0,6.0,0.0,0.0,0.0,0.429,0.026,1.595,0.34,0.0,0.0,0.44,0.0,0.0,N
R101-027001701-0000,수수_통수수_생것,R,원재료성 식품,1,식물성,1,곡류,1027,수수,102700,해당없음,10270017,통수수,1,생것,100g,360,8.7,10.5,3.1,1.2,76.5,,,10.0,2.1,191.0,524.0,4.0,0.0,0.0,0.0,0.32,0.11,2.0,0.0,,,,,0.0,N
R101-027010101-0000,수수_찰수수_도정_생것,R,원재료성 식품,1,식물성,1,곡류,1027,수수,102701,찰수수,10270101,도정,1,생것,100g,368,11.8,10.94,3.17,1.53,72.54,0.75,6.3,8.0,2.28,322.0,399.0,3.0,1.0,0.0,7.0,0.444,0.032,2.047,0.0,0.0,0.0,0.49,0.0,0.0,N
R101-027030101-0000,수수_찰수수+남풍찰_도정_생것,R,원재료성 식품,1,식물성,1,곡류,1027,수수,102703,찰수수+남풍찰,10270301,도정,1,생것,100g,378,9.6,11.03,3.67,1.65,74.03,0.68,13.6,8.0,2.3,317.0,365.0,5.0,1.0,0.0,7.0,0.546,0.02,1.774,0.52,0.0,0.0,0.59,0.01,0.0,N
R101-027040101-0000,수수_찰수수+소담찰_도정_생것,R,원재료성 식품,1,식물성,1,곡류,1027,수수,102704,찰수수+소담찰,10270401,도정,1,생것,100g,376,9.4,12.73,3.02,1.65,73.19,0.66,11.6,8.0,2.36,321.0,375.0,4.0,0.0,0.0,4.0,0.617,0.016,1.593,0.22,0.0,0.0,0.43,0.0,0.0,N
R101-030000006-0000,옥수수_분말화한것,R,원재료성 식품,1,식물성,1,곡류,1030,옥수수,103000,해당없음,10300000,해당없음,6,분말화한것,100g,364,8.1,7.32,0.97,0.31,83.3,0.54,1.9,5.0,0.73,52.0,105.0,2.0,32.0,0.0,379.0,0.007,0.027,2.385,0.0,0.0,0.0,0.25,0.0,0.0,N
R101-030020001-0000,옥수수_단옥수수_생것,R,원재료성 식품,1,식물성,1,곡류,1030,옥수수,103002,단옥수수,10300200,해당없음,1,생것,100g,118,70.4,4.01,1.5,0.73,23.39,4.91,3.1,3.0,0.75,105.0,261.0,0.0,1.0,0.0,13.0,0.191,0.089,2.2,6.53,0.0,0.0,0.25,0.01,47.0,N
R101-030020046-0000,옥수수_단옥수수_삶은것,R,원재료성 식품,1,식물성,1,곡류,1030,옥수수,103002,단옥수수,10300200,해당없음,46,삶은것,100g,118,70.3,3.99,1.47,0.7,23.53,4.2,3.2,4.0,0.7,104.0,252.0,0.0,1.0,0.0,13.0,0.075,0.087,1.6,6.16,0.0,0.0,0.24,0.0,40.0,N
R101-030020049-0000,옥수수_단옥수수_찐것,R,원재료성 식품,1,식물성,1,곡류,1030,옥수수,103002,단옥수수,10300200,해당없음,49,찐것,100g,135,65.2,4.2,0.7,0.8,29.1,,,21.0,2.1,123.0,356.0,1.0,12.0,0.0,144.0,0.08,0.03,1.6,0.0,,,,,,N
R106-055002401-0000,마늘종_꽃줄기_생것,R,원재료성 식품,1,식물성,6,채소류,6055,마늘종,605500,해당없음,60550024,꽃줄기,1,생것,100g,53,84.1,1.86,0.06,0.59,13.39,5.46,4.6,49.0,0.51,48.0,214.0,1.0,36.0,0.0,426.0,0.009,0.065,0.658,44.37,0.0,0.0,0.04,0.0,9.0,N
R101-025000058-0000,보리_볶은것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102500,해당없음,10250000,해당없음,58,볶은것,100g,360,8.2,12.7,2.6,2.4,74.1,,,26.0,18.9,402.0,,,0.0,0.0,0.0,2.42,,1.3,,,,,,0.0,N
R101-025007306-0000,보리_껍질 포함_분말화한것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102500,해당없음,10250073,껍질 포함,6,분말화한것,100g,364,8.2,10.95,2.99,1.77,76.09,0.0,22.1,48.0,7.68,216.0,307.0,17.0,1.0,0.0,7.0,0.084,0.205,4.472,0.0,0.0,0.0,0.74,0.0,0.0,N
R101-025010101-0000,보리_겉보리_도정_생것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102501,겉보리,10250101,도정,1,생것,100g,349,11.8,8.75,1.67,0.9,76.89,0.92,10.9,33.0,1.84,207.0,223.0,3.0,0.0,0.0,2.0,0.222,0.02,1.302,0.0,0.0,0.0,0.47,0.0,0.0,N
R101-025010601-0000,보리_겉보리_조곡_생것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102501,겉보리,10250106,조곡,1,생것,100g,347,11.3,11.01,2.37,2.45,72.84,1.42,19.6,55.0,4.7,418.0,493.0,7.0,0.0,0.0,6.0,0.476,0.087,1.855,0.0,0.0,0.0,0.59,0.0,0.0,N
R101-025011500-0000,보리_겉보리_압맥,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102501,겉보리,10250115,압맥,0,해당없음,100g,343,13.4,8.74,1.66,0.82,75.38,0.1,11.0,30.0,2.4,161.0,202.0,9.0,0.0,0.0,1.0,0.234,0.051,2.017,0.0,0.0,0.0,0.53,0.0,0.0,N
R101-025011600-0000,보리_겉보리_할맥,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102501,겉보리,10250116,할맥,0,해당없음,100g,354,10.5,9.3,1.67,0.82,77.71,1.62,17.0,31.0,2.02,163.0,211.0,11.0,0.0,0.0,3.0,0.216,0.064,0.995,0.0,0.0,0.0,0.54,0.0,0.0,N
R101-025020101-0000,보리_두산8호_도정_생것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102502,두산8호,10250201,도정,1,생것,100g,352,10.0,10.0,1.0,1.0,78.0,,,24.0,1.7,129.0,270.0,18.0,0.0,0.0,0.0,0.27,0.07,1.4,0.0,,,,,0.0,N
R101-025030006-0000,보리_미숫가루_분말화한것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102503,미숫가루,10250300,해당없음,6,분말화한것,100g,412,1.8,14.36,5.3,1.82,76.69,1.16,12.8,61.0,4.04,343.0,552.0,5.0,1.0,0.0,7.0,0.122,0.133,2.02,0.0,0.0,0.0,1.06,0.02,0.0,N
R101-025040101-0000,보리_서둔찰보리_도정_생것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102504,서둔찰보리,10250401,도정,1,생것,100g,354,9.5,9.7,1.1,1.3,78.5,,,26.0,2.9,117.0,227.0,13.0,0.0,0.0,0.0,0.36,0.11,1.3,,,,,,0.0,N
R101-025050101-0000,보리_쌀보리_도정_생것,R,원재료성 식품,1,식물성,1,곡류,1025,보리,102505,쌀보리,10250501,도정,1,생것,100g,341,13.7,8.66,1.66,0.9,75.04,0.51,12.5,38.0,2.28,203.0,275.0,5.0,0.0,0.0,1.0,0.153,0.05,1.187,0.0,0.0,0.0,0.45,0.0,0.0,N
