food_code,food_name,data_pid,data_pid_name,serving_size(g),calorie_kcal,carbohydrate_g,protein_g,fat_g,sugar_g,saturated_fat_g,trans_fat_g,sodium_mg,cholesterol_mg,dietary_fiber_g,vitamin_a_μg,vitamin_c_mg,vitamin_d_ug,calcium_mg,iron_mg
R211-105034071-0000,멸치_육_젓갈_대표_평균,R,원재료성 식품,100.0,106,1.78,13.6,4.4,,0.84,0.0,6210.0,66.6,,20.0,,,613.0,4.4
R211-105034071-0187,멸치_육_젓갈_신안_6월,R,원재료성 식품,100.0,118,0.0,14.0,6.3,,,,,,,,,,874.0,5.6
R211-105034024-0000,멸치_육_추출_대표_평균,R,원재료성 식품,100.0,0,0.0,0.1,0.0,,,,19.0,,,0.0,,,3.0,0.1
R211-105033902-0007,멸치_전체_말린것_대표_7월,R,원재료성 식품,100.0,406,36.18,31.15,13.41,,,,,,,,,,,
R211-105033902-0000,멸치_전체_말린것_대표_평균,R,원재료성 식품,100.0,310,0.99,60.29,5.42,,1.09,0.01,1455.0,153.64,,6.0,,,1857.0,5.77
R211-105033901-1052,멸치_전체_생것_거제_평균,R,원재료성 식품,100.0,94,0.35,20.03,0.84,,,,,,,,,,,
R211-105033901-0896,멸치_전체_생것_남해_평균,R,원재료성 식품,100.0,98,0.0,21.55,0.75,,,,,,,,,,,
R211-105033901-0004,멸치_전체_생것_대표_4월,R,원재료성 식품,100.0,117,0.21,20.04,3.39,,0.8,,119.0,79.5,,6.0,,,35.0,1.14
R211-105033901-0007,멸치_전체_생것_대표_7월,R,원재료성 식품,100.0,135,1.51,17.69,5.79,,,,,,,,,,,
R211-105033901-1260,멸치_전체_생것_동해_평균,R,원재료성 식품,100.0,99,0.0,21.76,0.73,,,,,,,,,,,
R211-105033901-1678,멸치_전체_생것_동해EEZ_2월,R,원재료성 식품,100.0,93,0.0,19.63,1.1,,,,,,,,,,,
R211-105033903-0007,멸치_전체_쪄서 말린것_대표_7월,R,원재료성 식품,100.0,422,43.75,26.28,13.93,,,,,,,,,,,
R211-107034173-0000,명태_내장_젓갈(창난젓)_대표_평균,R,원재료성 식품,100.0,116,8.2,12.9,3.2,8.2,,,,,0.0,,0.0,,99.0,1.4
R211-107034301-0000,명태_알_생것_대표_평균,R,원재료성 식품,100.0,133,2.7,20.5,3.0,,,,,,0.0,66.0,0.0,,28.0,1.2
R211-107034301-5519,명태_알_생것_수입_평균,R,원재료성 식품,100.0,127,2.27,22.65,2.36,,0.56,0.01,286.0,286.54,,79.0,,,11.0,0.88
R211-107034374-0000,명태_알_젓갈(명란젓)_대표_평균,R,원재료성 식품,100.0,132,8.75,20.17,1.21,,0.44,0.0,1774.0,210.82,,63.0,,,58.0,1.04
R211-107034050-5935,명태_육_구운것_수입_평균,R,원재료성 식품,100.0,123,0.0,23.48,1.18,0.0,0.16,,419.0,,0.0,17.0,0.0,1.3,72.0,0.56
R211-107034037-0000,명태_육_말린것(포)_대표_평균,R,원재료성 식품,100.0,372,0.0,82.7,2.4,0.0,,,,,0.0,,0.0,,300.0,4.9
R211-107034002-5927,명태_육_말린것_수입_5월,R,원재료성 식품,100.0,351,0.3,74.3,3.8,,,,,,,,,,2066.0,2.9
R211-107034002-5928,명태_육_말린것_수입_6월,R,원재료성 식품,100.0,358,0.5,70.6,6.2,,,,,,,,,,231.0,0.4
R211-107034005-0000,명태_육_반정도 말린것_대표_평균,R,원재료성 식품,100.0,290,0.0,61.7,3.1,0.0,,,,,0.0,,0.0,,243.0,2.7
R211-107034001-1273,명태_육_생것_강릉_평균,R,원재료성 식품,100.0,80,0.0,17.5,0.7,0.0,,,,,0.0,,0.0,,109.0,1.5
R211-107034001-5519,명태_육_생것_수입_평균,R,원재료성 식품,100.0,76,0.17,16.58,0.58,,0.11,0.0,64.0,9.14,,3.0,,,7.0,0.16
R211-107034039-1273,명태_육_얼려서 말린것(포)_강릉_평균,R,원재료성 식품,100.0,350,0.3,74.6,3.6,,,,,,,,,,179.0,2.3
R211-107034042-0000,명태_육_조미하여 말린것(포)_대표_평균,R,원재료성 식품,100.0,319,29.2,43.9,1.5,29.2,,,,,0.0,,0.0,,392.0,5.9
R211-109014001-0531,모래무지_육_생것_경기_12월,R,원재료성 식품,100.0,77,0.0,15.7,1.1,0.0,,,,,0.0,,1.0,,73.0,1.2
R211-011052801-0002,"갈치류_갈치(24cm미만)_수컷,육_생것_대표_2월",R,원재료성 식품,100.0,145,0.0,18.04,7.37,,,,,,,,,,,
